,Countries,Very serious threat,Somewhat serious threat,Not a threat at all,(DK),(Refused),Total
0,Afghanistan,0.37338910741277703,0.3863406810947201,0.08855814062192041,0.15171207087058255,0.0,1.0
2,Albania,0.5254420017706705,0.29619536034087757,0.09562098250726184,0.0827416553811875,0.0,1.0
4,Algeria,0.25448853354865064,0.47009076731473853,0.1412157357558161,0.13137547336568922,0.002829490015110522,1.0
6,Argentina,0.7219061826782949,0.1599566747178316,0.07676397673660569,0.04005285378546909,0.0013203120817967134,1.0
8,Armenia,0.37207883158641286,0.3945136772603693,0.13431741961901247,0.09765167627832255,0.0014383952558819088,1.0
10,Australia,0.5216459576131965,0.28558498694305406,0.1511942727141492,0.041574782729606914,0.0,1.0
12,Austria,0.6266062269495387,0.26209333694967146,0.07250867259761509,0.030653665458530797,0.008138098044644928,1.0
14,Azerbaijan,0.3141600324483786,0.36725110315748316,0.12496363350439262,0.19362523088974581,0.0,1.0
16,Bahrain,0.3196083697550193,0.2600180763093331,0.2314246396889332,0.1831004477832173,0.005848466463504633,1.0
18,Bangladesh,0.28719900197687853,0.26897361760626964,0.10412247473500229,0.3360410889357906,0.0036638167460602443,1.0
20,Belarus,0.4260958438790784,0.304752030434514,0.17463869239075283,0.09451343329565065,0.0,1.0
22,Belgium,0.5768142649286325,0.34791832223918795,0.054673540799101084,0.020593872033078896,0.0,1.0
24,Benin,0.41256816805283775,0.2690575658907806,0.1496744217620439,0.16869984429433543,0.0,1.0
26,Bolivia,0.692536277576215,0.1929065768059746,0.0813235597810014,0.03143873909867819,0.001794846738129111,1.0
28,Bosnia Herzegovina,0.5423057800498915,0.36925064395062646,0.03457633677448343,0.05063450583330224,0.0032327333917002636,1.0
30,Botswana,0.4980079975076752,0.1152443461855858,0.10034993074171847,0.2861309047054783,0.00026682085954376486,1.0
32,Brazil,0.7216690732791601,0.08995324629707259,0.06723331460359082,0.12114436582017732,0.0,1.0
34,Bulgaria,0.42338509239080324,0.38123037016012373,0.0757859572888845,0.1195985801601884,0.0,1.0
36,Burkina Faso,0.5393043241932176,0.2029846032033184,0.0560155627616548,0.20119485398403392,0.0005006558577718305,1.0
38,Cambodia,0.2507940508759735,0.2543484148080378,0.07877907241344026,0.4160784619025473,0.0,1.0
40,Cameroon,0.4187261935526276,0.28489923296060515,0.1444889441093303,0.15188562937743613,0.0,1.0
42,Canada,0.5641591398059752,0.29870453078474507,0.085715498549938,0.05016818620356928,0.0012526446557734592,1.0
44,Chad,0.449856263009203,0.2088960225870114,0.10877072630310987,0.23247698810066988,0.0,1.0
46,Chile,0.8732056436290773,0.07681828313775242,0.029292187322744766,0.018761815392171918,0.001922070518253147,1.0
48,China,0.2328674201537179,0.35507638855189894,0.12113304313593871,0.2904497689229584,0.000473379235486433,1.0
50,Colombia,0.7609490514887348,0.13438051850052796,0.06607363080694299,0.0289085674934754,0.00968823171031956,1.0
52,Congo Brazzaville,0.4517932080052084,0.1925814427925595,0.21341893766567963,0.14220641153655528,0.0,1.0
54,Costa Rica,0.8183819223677328,0.10841170062487179,0.04991603940642024,0.022605905913963546,0.0006844316870113543,1.0
